ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Contestant,WRank,LRank,Wsets,Lsets,Comment,Outcome,elo_winner,elo_loser
64,Lyon,Grand Prix de Lyon,11/6/2000,International,Indoor,Carpet,2nd Round,3,Kucera K.,74,24,2,1,Completed,Lose,1571.80666,1627.967282
66,Paris,BNP Paribas,11/13/2000,Masters,Indoor,Carpet,1st Round,3,Hrbaty D.,19,24,2,1,Completed,Lose,1620.648255,1609.403283
68,Stockholm,Stockholm Open,11/20/2000,International,Indoor,Hard,2nd Round,3,Vinciguerra A.,55,29,2,0,Completed,Lose,1544.21594,1593.920952
68,Stockholm,Stockholm Open,11/20/2000,International,Indoor,Hard,1st Round,3,Youzhny M.,29,110,2,1,Completed,Win,1575.647441,1487.711002
5,Sydney,adidas International,1/7/2002,International,Outdoor,Hard,1st Round,3,Robredo T.,13,34,2,0,Completed,Win,1587.682132,1473.657541
5,Sydney,adidas International,1/7/2002,International,Outdoor,Hard,Semifinals,3,Roddick A.,13,15,2,0,Completed,Win,1627.782113,1554.164725
5,Sydney,adidas International,1/7/2002,International,Outdoor,Hard,The Final,3,Chela J.I.,13,67,2,0,Completed,Win,1640.441748,1532.421725
6,Melbourne,Australian Open,1/14/2002,Grand Slam,Outdoor,Hard,2nd Round,5,Savolt A.,12,93,3,0,Completed,Win,1651.621561,1459.954153
6,Melbourne,Australian Open,1/14/2002,Grand Slam,Outdoor,Hard,4th Round,5,Haas T.,9,12,3,2,Completed,Lose,1603.248659,1659.593311
6,Melbourne,Australian Open,1/14/2002,Grand Slam,Outdoor,Hard,3rd Round,5,Schuettler R.,12,41,3,0,Completed,Win,1641.021054,1568.31149
6,Melbourne,Australian Open,1/14/2002,Grand Slam,Outdoor,Hard,1st Round,5,Chang M.,12,94,3,0,Completed,Win,1653.720696,1628.919886
7,Milan,Milan Indoors,1/28/2002,International,Indoor,Carpet,2nd Round,3,Davydenko N.,13,84,2,1,Completed,Win,1668.580512,1507.900506
7,Milan,Milan Indoors,1/28/2002,International,Indoor,Carpet,The Final,3,Sanguinetti D.,87,13,2,1,Completed,Lose,1524.745972,1677.666934
7,Milan,Milan Indoors,1/28/2002,International,Indoor,Carpet,Quarterfinals,3,Sargsian S.,13,74,2,1,Completed,Win,1655.046741,1442.298234
7,Milan,Milan Indoors,1/28/2002,International,Indoor,Carpet,Semifinals,3,Rusedski G.,13,30,2,0,Completed,Win,1662.314393,1664.425838
13,Rotterdam,ABN AMRO World Tennis Tournament,2/18/2002,International Gold,Indoor,Hard,1st Round,3,van Lottum J.,13,124,2,0,Completed,Win,1686.88798,1372.961121
13,Rotterdam,ABN AMRO World Tennis Tournament,2/18/2002,International Gold,Indoor,Hard,2nd Round,3,Enqvist T.,13,20,0,0,Walkover,Win,1691.399595,1744.342593
13,Rotterdam,ABN AMRO World Tennis Tournament,2/18/2002,International Gold,Indoor,Hard,Quarterfinals,3,Escude N.,22,13,2,1,Completed,Lose,1664.390357,1709.819013
15,Dubai,Dubai Championships,2/25/2002,International Gold,Outdoor,Hard,2nd Round,3,Schuettler R.,40,14,2,0,Completed,Lose,1581.276079,1691.738787
15,Dubai,Dubai Championships,2/25/2002,International Gold,Outdoor,Hard,1st Round,3,Voinea A.,14,76,2,0,Completed,Win,1670.816538,1440.702983
19,Indian Wells,Pacific Life Open,3/11/2002,Masters,Outdoor,Hard,2nd Round,3,Koubek S.,14,51,2,0,Completed,Win,1677.538053,1461.229265
19,Indian Wells,Pacific Life Open,3/11/2002,Masters,Outdoor,Hard,3rd Round,3,Enqvist T.,22,14,2,0,Completed,Lose,1718.56093,1684.691229
19,Indian Wells,Pacific Life Open,3/11/2002,Masters,Outdoor,Hard,1st Round,3,Malisse X.,14,33,2,1,Completed,Win,1670.246064,1592.124325
20,Miami,NASDAQ-100 Open,3/18/2002,Masters,Outdoor,Hard,The Final,5,Agassi A.,10,14,3,1,Completed,Lose,1767.382293,1689.299838
20,Miami,NASDAQ-100 Open,3/18/2002,Masters,Outdoor,Hard,Semifinals,3,Hewitt L.,14,1,2,0,Completed,Win,1676.836327,1852.038186
20,Miami,NASDAQ-100 Open,3/18/2002,Masters,Outdoor,Hard,4th Round,3,Henman T.,14,6,1,0,Retired,Win,1711.882484,1827.236594
20,Miami,NASDAQ-100 Open,3/18/2002,Masters,Outdoor,Hard,2nd Round,3,Morrison J.,14,139,2,0,Completed,Win,1733.007779,1491.920841
23,Monte Carlo,Monte Carlo Masters,4/15/2002,Masters,Outdoor,Clay,2nd Round,3,Nalbandian D.,35,11,2,0,Completed,Lose,1577.972616,1739.400033
23,Monte Carlo,Monte Carlo Masters,4/15/2002,Masters,Outdoor,Clay,1st Round,3,Zabaleta M.,11,69,2,0,Completed,Win,1716.458488,1448.907759
28,Rome,Rome TMS,5/6/2002,Masters,Outdoor,Clay,1st Round,3,Gaudenzi A.,58,11,2,0,Completed,Lose,1425.353511,1722.106938
29,Hamburg,Hamburg TMS,5/13/2002,Masters,Outdoor,Clay,2nd Round,3,Ulihrach B.,14,42,2,0,Completed,Win,1695.015445,1512.064461
29,Hamburg,Hamburg TMS,5/13/2002,Masters,Outdoor,Clay,The Final,5,Safin M.,14,5,3,0,Completed,Win,1703.291303,1771.07599
29,Hamburg,Hamburg TMS,5/13/2002,Masters,Outdoor,Clay,Semifinals,3,Mirnyi M.,14,39,2,0,Completed,Win,1745.787588,1562.385643
31,Paris,French Open,5/27/2002,Grand Slam,Outdoor,Clay,1st Round,5,Arazi H.,45,8,3,0,Completed,Lose,1498.080112,1762.771145
32,Halle,Gerry Weber Open,6/10/2002,International,Outdoor,Grass,2nd Round,3,Prinosil D.,10,206,2,0,Completed,Win,1736.496575,1610.46008
32,Halle,Gerry Weber Open,6/10/2002,International,Outdoor,Grass,1st Round,3,Dreekmann H.,10,2000,2,1,Completed,Win,1746.934259,1500
32,Halle,Gerry Weber Open,6/10/2002,International,Outdoor,Grass,Semifinals,3,Kiefer N.,66,10,2,1,Completed,Lose,1563.866665,1753.156069
32,Halle,Gerry Weber Open,6/10/2002,International,Outdoor,Grass,Quarterfinals,3,Youzhny M.,10,67,2,0,Completed,Win,1729.210039,1528.578135
35,'s-Hertogenbosch,Ordina Open,6/17/2002,International,Outdoor,Grass,1st Round,3,Krajicek R.,9,2000,2,0,Completed,Win,1736.876911,1648.441143
35,'s-Hertogenbosch,Ordina Open,6/17/2002,International,Outdoor,Grass,Quarterfinals,3,Schalken S.,31,9,2,1,Completed,Lose,1602.604978,1753.755898
36,London,Wimbledon,6/24/2002,Grand Slam,Outdoor,Grass,1st Round,5,Ancic M.,154,9,3,0,Completed,Lose,1463.419045,1731.203405
38,Gstaad,Gstaad Open,7/8/2002,International,Outdoor,Clay,2nd Round,3,Stepanek R.,110,11,2,1,Completed,Lose,1550.096147,1704.845603
38,Gstaad,Gstaad Open,7/8/2002,International,Outdoor,Clay,1st Round,3,Arazi H.,11,46,2,0,Completed,Win,1682.155773,1496.40858
