ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Contestant,WRank,LRank,Wsets,Lsets,Comment,Outcome,elo_winner,elo_loser
67,Houston,Masters Cup,11/14/2003,Masters Cup,Outdoor,Hard,Round Robin,3,Ferrero J.C.,3,2,2,0,Completed,Win,1910.198316,1881.19453
67,Houston,Masters Cup,11/16/2003,Masters Cup,Outdoor,Hard,Semifinals,3,Roddick A.,3,1,2,0,Completed,Win,1924.865737,1950.848324
67,Houston,Masters Cup,11/17/2003,Masters Cup,Outdoor,Hard,The Final,5,Agassi A.,3,5,3,0,Completed,Win,1942.060053,1907.846771
6,Melbourne,Australian Open,1/20/2004,Grand Slam,Outdoor,Hard,1st Round,5,Bogomolov A.,2,117,3,0,Completed,Win,1956.489547,1505.300597
6,Melbourne,Australian Open,1/22/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Morrison J.,2,156,3,0,Completed,Win,1958.707641,1493.289079
6,Melbourne,Australian Open,1/24/2004,Grand Slam,Outdoor,Hard,3rd Round,5,Reid T.,2,148,3,0,Completed,Win,1960.762491,1561.633186
6,Melbourne,Australian Open,1/26/2004,Grand Slam,Outdoor,Hard,4th Round,5,Hewitt L.,2,11,3,1,Completed,Win,1963.684865,1862.292727
6,Melbourne,Australian Open,1/28/2004,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nalbandian D.,2,8,3,1,Completed,Win,1975.143772,1851.873001
6,Melbourne,Australian Open,1/31/2004,Grand Slam,Outdoor,Hard,The Final,5,Safin M.,2,86,3,0,Completed,Win,1997.490702,1703.249445
12,Rotterdam,ABN AMRO World Tennis Tournament,2/18/2004,International Gold,Indoor,Hard,1st Round,3,Clement A.,1,29,2,0,Completed,Win,2002.459605,1676.243748
12,Rotterdam,ABN AMRO World Tennis Tournament,2/19/2004,International Gold,Indoor,Hard,2nd Round,3,Pavel A.,1,52,2,0,Completed,Win,2006.70396,1695.771753
12,Rotterdam,ABN AMRO World Tennis Tournament,2/20/2004,International Gold,Indoor,Hard,Quarterfinals,3,Henman T.,11,1,2,0,Completed,Lose,1828.485282,2011.282798
16,Dubai ,Dubai Championships,3/2/2004,International Gold,Outdoor,Hard,1st Round,3,Safin M.,1,30,2,0,Completed,Win,1987.564078,1688.426381
16,Dubai ,Dubai Championships,3/4/2004,International Gold,Outdoor,Hard,2nd Round,3,Robredo T.,1,20,2,0,Completed,Win,1992.41582,1670.11736
16,Dubai ,Dubai Championships,3/7/2004,International Gold,Outdoor,Hard,The Final,3,Lopez F.,1,32,2,1,Completed,Win,2005.85448,1697.248894
18,Indian Wells,Pacific Life Open,3/14/2004,Masters,Outdoor,Hard,2nd Round,3,Pavel A.,1,49,2,0,Completed,Win,2010.48612,1692.286469
18,Indian Wells,Pacific Life Open,3/20/2004,Masters,Outdoor,Hard,Semifinals,3,Agassi A.,1,5,2,1,Completed,Win,2028.778682,1913.807868
18,Indian Wells,Pacific Life Open,3/21/2004,Masters,Outdoor,Hard,The Final,3,Henman T.,1,10,2,0,Completed,Win,2039.669233,1848.041722
19,Miami,NASDAQ-100 Open,3/27/2004,Masters,Outdoor,Hard,2nd Round,3,Davydenko N.,1,54,2,1,Completed,Win,2047.642357,1490.454853
19,Miami,NASDAQ-100 Open,3/29/2004,Masters,Outdoor,Hard,3rd Round,3,Nadal R.,34,1,2,0,Completed,Lose,1639.784424,2048.886745
26,Rome,Telecom Italia Masters Roma,5/4/2004,Masters,Outdoor,Clay,1st Round,3,Bjorkman J.,1,26,2,0,Completed,Win,2019.660203,1653.944237
26,Rome,Telecom Italia Masters Roma,5/5/2004,Masters,Outdoor,Clay,2nd Round,3,Costa A.,39,1,2,1,Completed,Lose,1563.987809,2023.135067
27,Hamburg,Hamburg TMS,5/11/2004,Masters,Outdoor,Clay,1st Round,3,Gaudio G.,1,34,2,1,Completed,Win,1993.260436,1635.839562
27,Hamburg,Hamburg TMS,5/13/2004,Masters,Outdoor,Clay,3rd Round,3,Gonzalez F.,1,14,2,0,Completed,Win,1998.894914,1722.731684
27,Hamburg,Hamburg TMS,5/14/2004,Masters,Outdoor,Clay,Quarterfinals,3,Moya C.,1,8,2,0,Completed,Win,2004.316445,1882.957816
30,Paris,French Open,5/25/2004,Grand Slam,Outdoor,Clay,1st Round,5,Vliegen K.,1,110,3,0,Completed,Win,2036.552672,1567.706813
30,Paris,French Open,5/29/2004,Grand Slam,Outdoor,Clay,3rd Round,5,Kuerten G.,30,1,3,0,Completed,Lose,1728.122323,2041.638717
31,Halle,Gerry Weber Open,6/9/2004,International,Outdoor,Grass,2nd Round,3,Youzhny M.,1,34,2,0,Completed,Win,2016.625773,1669.833323
31,Halle,Gerry Weber Open,6/11/2004,International,Outdoor,Grass,Quarterfinals,3,Clement A.,1,37,2,0,Completed,Win,2020.452723,1601.178814
35,London,Wimbledon,6/21/2004,Grand Slam,Outdoor,Grass,1st Round,5,Bogdanovic A.,1,295,3,0,Completed,Win,2032.238847,1477.845796
35,London,Wimbledon,6/24/2004,Grand Slam,Outdoor,Grass,2nd Round,5,Falla A.,1,138,3,0,Completed,Win,2033.502616,1521.0781
35,London,Wimbledon,6/27/2004,Grand Slam,Outdoor,Grass,3rd Round,5,Johansson T.,1,123,3,0,Completed,Win,2035.094559,1660.963818
35,London,Wimbledon,6/30/2004,Grand Slam,Outdoor,Grass,Quarterfinals,5,Hewitt L.,1,10,3,1,Completed,Win,2040.239686,1881.272058
35,London,Wimbledon,7/4/2004,Grand Slam,Outdoor,Grass,The Final,5,Roddick A.,1,2,3,1,Completed,Win,2054.220045,1939.597692
37,Gstaad,Allianz Suisse Open,7/6/2004,International,Outdoor,Clay,1st Round,3,Behrend T.,1,130,2,0,Completed,Win,2065.125011,1443.830903
37,Gstaad,Allianz Suisse Open,7/9/2004,International,Outdoor,Clay,2nd Round,3,Karlovic I.,1,59,2,1,Completed,Win,2068.098848,1561.592232
37,Gstaad,Allianz Suisse Open,7/10/2004,International,Outdoor,Clay,Semifinals,3,Starace P.,1,145,2,1,Completed,Win,2069.743121,1569.184955
45,Toronto,Toronto TMS,7/29/2004,Masters,Outdoor,Hard,2nd Round,3,Soderling R.,1,50,2,0,Completed,Win,2077.197472,1606.516374
45,Toronto,Toronto TMS,7/31/2004,Masters,Outdoor,Hard,Semifinals,3,Johansson T.,1,99,2,1,Completed,Win,2081.265176,1684.288963
45,Toronto,Toronto TMS,8/1/2004,Masters,Outdoor,Hard,The Final,3,Roddick A.,1,2,2,0,Completed,Win,2084.220629,1977.725017
46,Cincinnati,Western & Southern Financial Group Masters,8/3/2004,Masters,Outdoor,Hard,1st Round,3,Hrbaty D.,21,1,2,1,Completed,Lose,1635.818213,2095.464357
50,New York,US Open,8/30/2004,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,1,44,3,0,Completed,Win,2065.584035,1598.202789
50,New York,US Open,9/2/2004,Grand Slam,Outdoor,Hard,2nd Round,5,Baghdatis M.,1,240,3,1,Completed,Win,2067.617266,1514.845772
50,New York,US Open,9/7/2004,Grand Slam,Outdoor,Hard,4th Round,5,Pavel A.,1,18,,,Walkover,Win,2072.166933,1664.404579
50,New York,US Open,9/11/2004,Grand Slam,Outdoor,Hard,Semifinals,5,Henman T.,1,6,3,0,Completed,Win,2082.922809,1830.094295
50,New York,US Open,9/12/2004,Grand Slam,Outdoor,Hard,The Final,5,Hewitt L.,1,5,3,0,Completed,Win,2088.976319,1964.991018
54,Bangkok,Thailand Open,9/28/2004,International,Indoor,Hard,1st Round,3,Thomann N.,1,507,2,0,Completed,Win,2099.497218,1510.600491
54,Bangkok,Thailand Open,9/30/2004,International,Indoor,Hard,2nd Round,3,Heuberger I.,1,129,2,0,Completed,Win,2100.540759,1408.131106
54,Bangkok,Thailand Open,10/1/2004,International,Indoor,Hard,Quarterfinals,3,Soderling R.,1,50,2,0,Completed,Win,2101.124382,1649.47078
54,Bangkok,Thailand Open,10/3/2004,International,Indoor,Hard,The Final,3,Roddick A.,1,2,2,0,Completed,Win,2106.48291,1977.069277
67,Houston,Masters Cup,11/15/2004,Masters Cup,Outdoor,Hard,Round Robin,3,Gaudio G.,1,10,2,0,Completed,Win,2116.784333,1706.698492
67,Houston,Masters Cup,11/18/2004,Masters Cup,Outdoor,Hard,Round Robin,3,Hewitt L.,1,3,2,0,Completed,Win,2119.543483,1934.08222
67,Houston,Masters Cup,11/19/2004,Masters Cup,Outdoor,Hard,Round Robin,3,Moya C.,1,5,2,1,Completed,Win,2127.73099,1799.190255
67,Houston,Masters Cup,11/20/2004,Masters Cup,Outdoor,Hard,Semifinals,3,Safin M.,1,4,2,0,Completed,Win,2131.926318,1872.989589
67,Houston,Masters Cup,11/21/2004,Masters Cup,Outdoor,Hard,The Final,5,Hewitt L.,1,3,2,0,Completed,Win,2137.809126,1950.330863
3,Doha,Qatar Exxon Mobil Open,1/3/2005,International,Outdoor,Hard,1st Round,3,Ferrer D.,1,49,2,0,Completed,Win,2145.926094,1558.822117
3,Doha,Qatar Exxon Mobil Open,1/5/2005,International,Outdoor,Hard,2nd Round,3,Rusedski G.,1,46,2,0,Completed,Win,2146.980103,1723.531231
3,Doha,Qatar Exxon Mobil Open,1/6/2005,International,Outdoor,Hard,Quarterfinals,3,Lopez F.,1,25,2,0,Completed,Win,2149.551382,1731.632122
3,Doha,Qatar Exxon Mobil Open,1/7/2005,International,Outdoor,Hard,Semifinals,3,Davydenko N.,1,28,2,0,Completed,Win,2152.198944,1702.542878
3,Doha,Qatar Exxon Mobil Open,1/8/2005,International,Outdoor,Hard,The Final,3,Ljubicic I.,1,22,2,0,Completed,Win,2154.435323,1747.911835
6,Melbourne,Australian Open,1/19/2005,Grand Slam,Outdoor,Hard,2nd Round,5,Suzuki T.,1,203,3,0,Completed,Win,2159.325852,1527.593991
6,Melbourne,Australian Open,1/23/2005,Grand Slam,Outdoor,Hard,4th Round,5,Baghdatis M.,1,155,3,0,Completed,Win,2161.469997,1559.444694
6,Melbourne,Australian Open,1/25/2005,Grand Slam,Outdoor,Hard,Quarterfinals,5,Agassi A.,1,8,3,0,Completed,Win,2162.439882,1906.632367
6,Melbourne,Australian Open,1/27/2005,Grand Slam,Outdoor,Hard,Semifinals,5,Safin M.,4,1,3,2,Completed,Lose,1895.82386,2168.40967
15,Rotterdam,ABN AMRO World Tennis Tournament,2/20/2005,International Gold,Indoor,Hard,The Final,3,Johansson T.,1,29,2,1,Completed,Win,2147.945799,1769.862973
17,Dubai ,Dubai Duty Free Men's Open,2/23/2005,International Gold,Outdoor,Hard,1st Round,3,Minar J.,1,278,2,1,Completed,Win,2151.206218,1500
17,Dubai ,Dubai Duty Free Men's Open,2/24/2005,International Gold,Outdoor,Hard,2nd Round,3,Ferrero J.C.,1,98,2,1,Completed,Win,2151.942468,1664.880739
17,Dubai ,Dubai Duty Free Men's Open,2/27/2005,International Gold,Outdoor,Hard,The Final,3,Ljubicic I.,1,14,2,1,Completed,Win,2162.652975,1814.271437
19,Indian Wells,Pacific Life Open,3/13/2005,Masters,Outdoor,Hard,2nd Round,3,Fish M.,1,49,2,0,Completed,Win,2166.449212,1619.708863
19,Indian Wells,Pacific Life Open,3/18/2005,Masters,Outdoor,Hard,Quarterfinals,3,Kiefer N.,1,31,2,0,Completed,Win,2172.551159,1777.012277
19,Indian Wells,Pacific Life Open,3/20/2005,Masters,Outdoor,Hard,The Final,5,Hewitt L.,1,2,3,0,Completed,Win,2179.076198,1995.552149
20,Miami,NASDAQ-100 Open,3/26/2005,Masters,Outdoor,Hard,2nd Round,3,Rochus O.,1,40,2,0,Completed,Win,2187.331832,1686.65897
20,Miami,NASDAQ-100 Open,3/30/2005,Masters,Outdoor,Hard,4th Round,3,Ancic M.,1,20,2,1,Completed,Win,2190.187046,1713.398062
20,Miami,NASDAQ-100 Open,4/3/2005,Masters,Outdoor,Hard,The Final,5,Nadal R.,1,31,3,2,Completed,Win,2201.435378,1837.899081
23,Monte Carlo,Monte Carlo Masters,4/13/2005,Masters,Outdoor,Clay,2nd Round,3,Montanes A.,1,62,2,0,Completed,Win,2206.341581,1491.039482
23,Monte Carlo,Monte Carlo Masters,4/15/2005,Masters,Outdoor,Clay,Quarterfinals,3,Gasquet R.,101,1,2,1,Completed,Lose,1578.623581,2208.829479
29,Hamburg,Hamburg TMS,5/11/2005,Masters,Outdoor,Clay,2nd Round,3,Berdych T.,1,46,2,0,Completed,Win,2179.173544,1560.94959
29,Hamburg,Hamburg TMS,5/14/2005,Masters,Outdoor,Clay,Semifinals,3,Davydenko N.,1,20,2,0,Completed,Win,2186.407561,1731.540792
31,Paris,French Open,5/23/2005,Grand Slam,Outdoor,Clay,1st Round,5,Sela D.,1,264,3,0,Completed,Win,2190.251011,1500
31,Paris,French Open,5/27/2005,Grand Slam,Outdoor,Clay,3rd Round,5,Gonzalez F.,1,26,3,0,Completed,Win,2191.42501,1722.327657
31,Paris,French Open,5/31/2005,Grand Slam,Outdoor,Clay,Quarterfinals,5,Hanescu V.,1,90,3,0,Completed,Win,2195.743698,1609.884293
31,Paris,French Open,6/3/2005,Grand Slam,Outdoor,Clay,Semifinals,5,Nadal R.,5,1,3,1,Completed,Lose,1989.348354,2196.805035
32,Halle,Gerry Weber Open,6/7/2005,International,Outdoor,Grass,1st Round,3,Soderling R.,1,35,2,1,Completed,Win,2172.245215,1651.512764
32,Halle,Gerry Weber Open,6/10/2005,International,Outdoor,Grass,Quarterfinals,3,Kohlschreiber P.,1,71,2,0,Completed,Win,2174.653468,1454.789912
36,London,Wimbledon,6/22/2005,Grand Slam,Outdoor,Grass,2nd Round,5,Minar I.,1,99,3,0,Completed,Win,2182.579317,1594.001622
36,London,Wimbledon,6/25/2005,Grand Slam,Outdoor,Grass,3rd Round,5,Kiefer N.,1,26,3,1,Completed,Win,2183.624713,1725.833855
36,London,Wimbledon,7/1/2005,Grand Slam,Outdoor,Grass,Semifinals,5,Hewitt L.,1,2,3,0,Completed,Win,2190.847979,1999.239785
49,Cincinnati,Western & Southern Financial Group Masters,8/16/2005,Masters,Outdoor,Hard,1st Round,3,Blake J.,1,70,2,0,Completed,Win,2205.25149,1648.857501
49,Cincinnati,Western & Southern Financial Group Masters,8/19/2005,Masters,Outdoor,Hard,Quarterfinals,3,Acasuso J.,1,52,2,0,Completed,Win,2208.423791,1590.75418
49,Cincinnati,Western & Southern Financial Group Masters,8/19/2005,Masters,Outdoor,Hard,3rd Round,3,Rochus O.,1,34,2,0,Completed,Win,2209.31247,1677.140029
49,Cincinnati,Western & Southern Financial Group Masters,8/20/2005,Masters,Outdoor,Hard,Semifinals,3,Ginepri R.,1,58,2,1,Completed,Win,2210.740986,1740.775322
51,New York,US Open,9/5/2005,Grand Slam,Outdoor,Hard,3rd Round,5,Rochus O.,1,29,3,0,Completed,Win,2221.135146,1673.543227
51,New York,US Open,9/6/2005,Grand Slam,Outdoor,Hard,4th Round,5,Kiefer N.,1,38,3,1,Completed,Win,2222.447305,1755.902796
51,New York,US Open,9/9/2005,Grand Slam,Outdoor,Hard,Quarterfinals,5,Nalbandian D.,1,11,3,0,Completed,Win,2224.489727,1781.310535
51,New York,US Open,9/10/2005,Grand Slam,Outdoor,Hard,Semifinals,5,Hewitt L.,1,4,3,1,Completed,Win,2226.804915,1992.255482
51,New York,US Open,9/11/2005,Grand Slam,Outdoor,Hard,The Final,5,Agassi A.,1,7,3,1,Completed,Win,2233.391851,1956.591999
54,Bangkok,Thailand Open,9/29/2005,International,Indoor,Hard,2nd Round,3,Gremelmayr D.,1,239,2,0,Completed,Win,2239.160255,1481.111228
54,Bangkok,Thailand Open,9/30/2005,International,Indoor,Hard,Quarterfinals,3,Muller G.,1,66,2,0,Completed,Win,2239.56254,1660.899591
54,Bangkok,Thailand Open,10/1/2005,International,Indoor,Hard,Semifinals,3,Nieminen J.,1,42,2,0,Completed,Win,2240.667217,1718.795818
54,Bangkok,Thailand Open,10/2/2005,International,Indoor,Hard,The Final,3,Murray A.,1,109,2,0,Completed,Win,2242.178881,1634.838594
67,Shanghai,Masters Cup,11/13/2005,Masters Cup,Indoor,Hard,Round Robin,3,Nalbandian D.,1,12,2,1,Completed,Win,2243.1204,1777.859642
67,Shanghai,Masters Cup,11/15/2005,Masters Cup,Indoor,Hard,Round Robin,3,Ljubicic I.,1,8,2,1,Completed,Win,2245.176998,1878.612565
67,Shanghai,Masters Cup,11/17/2005,Masters Cup,Indoor,Hard,Round Robin,3,Coria G.,1,6,2,1,Completed,Win,2248.636762,1765.61953
67,Shanghai,Masters Cup,11/19/2005,Masters Cup,Indoor,Hard,Semifinals,3,Gaudio G.,1,9,2,0,Completed,Win,2250.505199,1784.158413
67,Shanghai,Masters Cup,11/20/2005,Masters Cup,Indoor,Hard,The Final,5,Nalbandian D.,12,1,3,2,Completed,Lose,1827.182095,2252.549798
3,Doha,Qatar Exxon Mobil Open,1/3/2006,International,Outdoor,Hard,1st Round,3,Minar I.,1,73,2,0,Completed,Win,2223.095079,1545.025302
3,Doha,Qatar Exxon Mobil Open,1/4/2006,International,Outdoor,Hard,2nd Round,3,Santoro F.,1,58,2,0,Completed,Win,2223.727929,1684.291976
3,Doha,Qatar Exxon Mobil Open,1/5/2006,International,Outdoor,Hard,Quarterfinals,3,Baghdatis M.,1,55,2,0,Completed,Win,2225.100457,1634.398894
3,Doha,Qatar Exxon Mobil Open,1/6/2006,International,Outdoor,Hard,Semifinals,3,Haas T.,1,45,2,0,Completed,Win,2226.13356,1712.118456
3,Doha,Qatar Exxon Mobil Open,1/7/2006,International,Outdoor,Hard,The Final,3,Monfils G.,1,30,2,0,Completed,Win,2227.711709,1716.371598
6,Melbourne,Australian Open,1/19/2006,Grand Slam,Outdoor,Hard,2nd Round,5,Mayer F.,1,69,3,0,Completed,Win,2229.786699,1640.44479
6,Melbourne,Australian Open,1/23/2006,Grand Slam,Outdoor,Hard,4th Round,5,Haas T.,1,41,3,2,Completed,Win,2231.918446,1744.049046
17,Dubai ,Dubai Tennis Championships,2/28/2006,International Gold,Outdoor,Hard,1st Round,3,Wawrinka S.,1,57,2,0,Completed,Win,2240.579694,1578.089327
17,Dubai ,Dubai Tennis Championships,3/1/2006,International Gold,Outdoor,Hard,2nd Round,3,Al Ghareeb M.,1,488,2,0,Completed,Win,2241.27064,1498.737245
17,Dubai ,Dubai Tennis Championships,3/2/2006,International Gold,Outdoor,Hard,Quarterfinals,3,Vik R.,1,75,2,0,Completed,Win,2241.709992,1569.457219
17,Dubai ,Dubai Tennis Championships,3/4/2006,International Gold,Outdoor,Hard,The Final,3,Nadal R.,2,1,2,1,Completed,Lose,2033.549871,2243.885238
19,Indian Wells,Pacific Life Open,3/16/2006,Masters,Outdoor,Hard,Quarterfinals,3,Ljubicic I.,1,6,2,0,Completed,Win,2223.614481,1920.709506
20,Miami,NASDAQ-100 Open,3/25/2006,Masters,Outdoor,Hard,2nd Round,3,Clement A.,1,53,2,1,Completed,Win,2234.307242,1705.930378
20,Miami,NASDAQ-100 Open,3/28/2006,Masters,Outdoor,Hard,3rd Round,3,Haas T.,1,28,2,0,Completed,Win,2235.765876,1846.606158
20,Miami,NASDAQ-100 Open,3/28/2006,Masters,Outdoor,Hard,4th Round,3,Tursunov D.,1,36,2,0,Completed,Win,2238.844263,1674.887417
20,Miami,NASDAQ-100 Open,4/2/2006,Masters,Outdoor,Hard,The Final,5,Ljubicic I.,1,6,3,0,Completed,Win,2245.627442,1947.388536
23,Monte Carlo,Monte Carlo Masters,4/20/2006,Masters,Outdoor,Clay,3rd Round,3,Balleret B.,1,351,2,0,Completed,Win,2252.040785,1544.553836
23,Monte Carlo,Monte Carlo Masters,4/21/2006,Masters,Outdoor,Clay,Quarterfinals,3,Ferrer D.,1,15,2,0,Completed,Win,2252.576702,1723.876495
23,Monte Carlo,Monte Carlo Masters,4/23/2006,Masters,Outdoor,Clay,The Final,5,Nadal R.,2,1,3,1,Completed,Lose,2039.424436,2256.026124
28,Rome,Campionati Internazional d'Italia,5/8/2006,Masters,Outdoor,Clay,1st Round,3,Chela J.I.,1,30,2,0,Completed,Win,2231.169939,1649.244383
28,Rome,Campionati Internazional d'Italia,5/10/2006,Masters,Outdoor,Clay,2nd Round,3,Starace P.,1,81,2,0,Completed,Win,2232.25476,1537.523619
28,Rome,Campionati Internazional d'Italia,5/14/2006,Masters,Outdoor,Clay,The Final,5,Nadal R.,2,1,3,2,Completed,Lose,2096.555557,2240.866745
31,Paris,French Open,6/9/2006,Grand Slam,Outdoor,Clay,Semifinals,5,Nalbandian D.,1,3,1,1,Retired,Win,2225.451815,1944.203856
31,Paris,French Open,6/11/2006,Grand Slam,Outdoor,Clay,The Final,5,Nadal R.,2,1,3,1,Completed,Lose,2139.149567,2230.742815
32,Halle,Gerry Weber Open,6/14/2006,International,Outdoor,Grass,1st Round,3,Bopanna R.,1,267,2,0,Completed,Win,2210.619864,1491.870768
32,Halle,Gerry Weber Open,6/15/2006,International,Outdoor,Grass,2nd Round,3,Gasquet R.,1,51,2,1,Completed,Win,2211.122668,1664.252723
32,Halle,Gerry Weber Open,6/16/2006,International,Outdoor,Grass,Quarterfinals,3,Rochus O.,1,29,2,1,Completed,Win,2212.440067,1746.449875
36,London,Wimbledon,6/27/2006,Grand Slam,Outdoor,Grass,1st Round,5,Gasquet R.,1,50,3,0,Completed,Win,2219.210133,1726.017747
48,Toronto,Rogers Masters,8/12/2006,Masters,Outdoor,Hard,Quarterfinals,3,Malisse X.,1,41,2,1,Completed,Win,2247.148809,1704.212955
48,Toronto,Rogers Masters,8/13/2006,Masters,Outdoor,Hard,The Final,3,Gasquet R.,1,51,2,1,Completed,Win,2251.344305,1827.215968
49,Cincinnati,Western & Southern Financial Group Masters,8/16/2006,Masters,Outdoor,Hard,2nd Round,3,Murray A.,21,1,2,0,Completed,Lose,1767.475256,2253.90635
49,Cincinnati,Western & Southern Financial Group Masters,8/16/2006,Masters,Outdoor,Hard,1st Round,3,Srichaphan P.,1,45,2,0,Completed,Win,2223.740512,1564.678194
51,New York,US Open,8/30/2006,Grand Slam,Outdoor,Hard,1st Round,5,Wang Y.T.,1,109,3,0,Completed,Win,2224.444925,1491.288971
51,New York,US Open,9/4/2006,Grand Slam,Outdoor,Hard,3rd Round,5,Spadea V.,1,84,3,0,Completed,Win,2226.66233,1567.101035
51,New York,US Open,9/8/2006,Grand Slam,Outdoor,Hard,Quarterfinals,5,Blake J.,1,7,3,1,Completed,Win,2228.1607,1838.80024
51,New York,US Open,9/9/2006,Grand Slam,Outdoor,Hard,Semifinals,5,Davydenko N.,1,6,3,0,Completed,Win,2231.235873,1857.641607
58,Tokyo,Japan Open,10/4/2006,International Gold,Outdoor,Hard,2nd Round,3,Troicki V.,1,276,2,0,Completed,Win,2239.082425,1511.923359
58,Tokyo,Japan Open,10/5/2006,International Gold,Outdoor,Hard,3rd Round,3,Moodie W.,1,73,2,0,Completed,Win,2239.561824,1568.197648
58,Tokyo,Japan Open,10/6/2006,International Gold,Outdoor,Hard,Quarterfinals,3,Suzuki T.,1,1078,2,1,Completed,Win,2240.219068,1560.59076
62,Madrid,Madrid Masters,10/19/2006,Masters,Indoor,Hard,3rd Round,3,Soderling R.,1,29,2,0,Completed,Win,2244.900606,1754.771967
62,Madrid,Madrid Masters,10/21/2006,Masters,Indoor,Hard,Semifinals,3,Nalbandian D.,1,4,2,0,Completed,Win,2247.966552,1877.089904
62,Madrid,Madrid Masters,10/22/2006,Masters,Indoor,Hard,The Final,5,Gonzalez F.,1,10,3,0,Completed,Win,2251.350462,1921.961209
63,Basel,Davidoff Swiss Indoors,10/24/2006,International,Indoor,Carpet,1st Round,3,Zib T.,1,151,2,0,Completed,Win,2255.528016,1396.842753
63,Basel,Davidoff Swiss Indoors,10/27/2006,International,Indoor,Carpet,Quarterfinals,3,Ferrer D.,1,15,2,0,Completed,Win,2256.230053,1740.901765
63,Basel,Davidoff Swiss Indoors,10/28/2006,International,Indoor,Carpet,Semifinals,3,Srichaphan P.,1,54,2,1,Completed,Win,2257.796899,1682.276891
63,Basel,Davidoff Swiss Indoors,10/29/2006,International,Indoor,Carpet,The Final,5,Gonzalez F.,1,7,3,0,Completed,Win,2258.921036,1939.098858
67,Shanghai,Masters Cup,11/12/2006,Masters Cup,Indoor,Hard,Round Robin,3,Nalbandian D.,1,7,2,1,Completed,Win,2263.302726,1859.941126
67,Shanghai,Masters Cup,11/14/2006,Masters Cup,Indoor,Hard,Round Robin,3,Roddick A.,1,5,2,1,Completed,Win,2266.161044,1920.471778
67,Shanghai,Masters Cup,11/16/2006,Masters Cup,Indoor,Hard,Round Robin,3,Ljubicic I.,1,4,2,0,Completed,Win,2270.009442,1855.446875
67,Shanghai,Masters Cup,11/18/2006,Masters Cup,Indoor,Hard,Semifinals,3,Nadal R.,1,2,2,0,Completed,Win,2272.704309,2012.867286
67,Shanghai,Masters Cup,11/19/2006,Masters Cup,Indoor,Hard,The Final,5,Blake J.,1,8,3,0,Completed,Win,2278.562274,1900.846885
6,Melbourne,Australian Open,1/15/2007,Grand Slam,Outdoor,Hard,1st Round,5,Phau B.,1,82,3,0,Completed,Win,2281.828892,1459.622471
6,Melbourne,Australian Open,1/17/2007,Grand Slam,Outdoor,Hard,2nd Round,5,Bjorkman J.,1,50,3,0,Completed,Win,2282.108036,1594.884528
6,Melbourne,Australian Open,1/19/2007,Grand Slam,Outdoor,Hard,3rd Round,5,Youzhny M.,1,25,3,0,Completed,Win,2282.709013,1706.575831
6,Melbourne,Australian Open,1/21/2007,Grand Slam,Outdoor,Hard,4th Round,5,Djokovic N.,1,15,3,0,Completed,Win,2283.829327,1832.431629
6,Melbourne,Australian Open,1/28/2007,Grand Slam,Outdoor,Hard,The Final,5,Gonzalez F.,1,9,3,0,Completed,Win,2292.075135,1972.675637
17,Dubai ,Dubai Tennis Championships,2/28/2007,International Gold,Outdoor,Hard,2nd Round,3,Bracciali D.,1,88,2,0,Completed,Win,2296.729007,1521.185105
17,Dubai ,Dubai Tennis Championships,3/1/2007,International Gold,Outdoor,Hard,Quarterfinals,3,Djokovic N.,1,14,2,1,Completed,Win,2297.09319,1831.716208
17,Dubai ,Dubai Tennis Championships,3/3/2007,International Gold,Outdoor,Hard,The Final,3,Youzhny M.,1,18,2,0,Completed,Win,2302.068719,1881.609597
19,Indian Wells,Pacific Life Open,3/11/2007,Masters,Outdoor,Hard,2nd Round,3,Canas G.,60,1,2,0,Completed,Lose,1799.438492,2304.68099
20,Miami,Sony Ericsson Open,3/25/2007,Masters,Outdoor,Hard,2nd Round,3,Querrey S.,1,69,2,0,Completed,Win,2274.336651,1627.792333
20,Miami,Sony Ericsson Open,3/27/2007,Masters,Outdoor,Hard,4th Round,3,Canas G.,55,1,2,1,Completed,Lose,1848.080537,2275.898776
23,Monte Carlo,Monte Carlo Masters,4/17/2007,Masters,Outdoor,Clay,2nd Round,3,Seppi A.,1,101,2,0,Completed,Win,2246.411203,1449.218966
23,Monte Carlo,Monte Carlo Masters,4/20/2007,Masters,Outdoor,Clay,Quarterfinals,3,Ferrer D.,1,16,2,0,Completed,Win,2247.493328,1822.991287
23,Monte Carlo,Monte Carlo Masters,4/21/2007,Masters,Outdoor,Clay,Semifinals,3,Ferrero J.C.,1,21,2,0,Completed,Win,2250.050308,1729.380196
23,Monte Carlo,Monte Carlo Masters,4/22/2007,Masters,Outdoor,Clay,The Final,3,Nadal R.,2,1,2,0,Completed,Lose,2013.939853,2251.571963
28,Rome,Internazionali BNL d'Italia,5/8/2007,Masters,Outdoor,Clay,2nd Round,3,Almagro N.,1,40,2,0,Completed,Win,2226.066556,1680.188683
28,Rome,Internazionali BNL d'Italia,5/10/2007,Masters,Outdoor,Clay,3rd Round,3,Volandri F.,53,1,2,0,Completed,Lose,1649.340081,2227.391188
